Company,Location,Month,Type,Date,Particulars,Voucher Type,Voucher No.,Against Sales Invoice no.,Narration,Quantity,Rate,Value,Gross Total,ledger_id
O-tec,Surat,2025-05,debit note,12/05/2025,SHRUTI FASHIONS PVT. LTD.,GST DEBIT NOTE,DN/25-26/10,CN/60/25-26,,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00001338
O-tec,Surat,2025-06,debit note,05/06/2025,PREMIER SPG & WVG MILLS PVT LTD,GST DEBIT NOTE,DN/25-26/12,,,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000112f
O-tec,Surat,2025-07,debit note,03/07/2025,BLUE PRINT ENTERPRISE,GST DEBIT NOTE,DN/25-26/14,INK/25-26/2190,,,,,3540.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00002cf5
O-tec,Surat,2025-07,debit note,04/07/2025,ADIYA DESIGNER,GST DEBIT NOTE,DN/25-26/15,CN/1192/24-25,,,,,31152.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000984
O-tec,Surat,2025-07,debit note,05/07/2025,KIMORA FASHIONS PVT. LTD.,GST DEBIT NOTE,DN/25-26/16,G/SR/24-25/649,,,,,291991.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e8e
O-tec,Surat,2025-07,debit note,11/07/2025,PRAYAGRAJ DYEING AND PRINTING MILLS PVT LTD,GST DEBIT NOTE,DN/25-26/17,SER/25-26/48,Make Debit note to Prayagraj Dyeing for dent on Head DT:10.07.25,,,,259600.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00001123
O-tec,Surat,2025-07,debit note,15/07/2025,PREMIER SPG & WVG MILLS PVT LTD,GST DEBIT NOTE,DN/25-26/18,,BEING DEBIT NOTE ISSUED FOR AIR CARGO CHARGES,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000112f
O-tec,Surat,2025-07,debit note,30/07/2025,GLAMY FABRICS,GST DEBIT NOTE,DN/25-26/19,,,,,,29116.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000339c
O-tec,Surat,2025-07,debit note,31/07/2025,DASS DIGITAL,GST DEBIT NOTE,DN/25-26/20,,BEING HEAD DEBIT NOTE ISSUED FOR OLD MS HEAD 600 DPI (244M-5239) sale on 30.07.25.,,,,76700.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000b72
O-tec,Surat,2025-07,debit note,31/07/2025,KALAHANSH FASHIONS LLP,GST DEBIT NOTE,DN/25-26/21,,BEING HEAD DEBIT NOTE ISSUED FOR OLD MS 600 DPI HEADS (244M-5411 WARRANTY 02 MONTHS UP TO 30.09.25 // 244M-5237 WARRANTY 04 MONTHS UP TO 30.11.25),,,,171100.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e56
O-tec,Surat,2025-07,debit note,31/07/2025,RAJLAXMI DIGITAL,GST DEBIT NOTE,DN/25-26/22,,BEING DEBIT NOTE REVERES ISSUED,,,,163430.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000119e
O-tec,Surat,2025-08,debit note,16/08/2025,PREMIER SPG & WVG MILLS PVT LTD,GST DEBIT NOTE,DN/25-26/23,SPARE/25-26/962,Please Issue Debit note to PREMIER SPG & WVG MILLS PVT LTD for Cargo shipping Charges for Spare Part delivery.,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000112f
O-tec,Surat,2025-08,debit note,19/08/2025,PREMIER SPG & WVG MILLS PVT LTD,GST DEBIT NOTE,DN/25-26/24,SPARE/25-26/983,Please Issue Debit note to PREMIER SPG & WVG MILLS PVT LTD for Cargo shipping Charges for Spare Part delivery.,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000112f
